_time,user,event,filename,host
2025-07-31T12:12:57,alice,file_access,report.docx,dev01
2025-07-31T12:12:57,alice,file_access,summary.txt,dev01
2025-07-31T05:15:57,alice,file_access,report.docx,eng01
2025-07-31T05:15:57,alice,file_access,confidential.pdf,eng01
2025-07-31T05:15:57,alice,file_access,data.csv,eng01
2025-07-31T10:53:57,neha,file_access,budget.xlsx,fin01
2025-07-31T10:53:57,neha,file_access,confidential.pdf,fin01
2025-07-31T10:53:57,neha,file_access,report.docx,fin01
2025-07-31T21:17:57,neha,file_access,budget.xlsx,fin01
2025-07-31T21:17:57,neha,file_access,data.csv,fin01
2025-07-31T21:17:57,neha,file_access,summary.txt,fin01
2025-08-01T00:14:57,bob,file_access,data.csv,fin01
2025-08-01T00:14:57,bob,file_access,summary.txt,fin01
2025-07-31T13:51:57,alice,file_access,confidential.pdf,eng01
2025-07-31T13:51:57,alice,file_access,plan.pptx,eng01
2025-07-31T04:28:57,mike,file_access,data.csv,prod01
2025-07-31T04:28:57,mike,file_access,data.csv,prod01
2025-07-31T20:18:57,jane,file_access,data.csv,hr01
2025-07-31T11:57:57,sam,file_access,budget.xlsx,eng01
2025-07-31T11:57:57,sam,file_access,budget.xlsx,eng01
2025-07-31T11:57:57,sam,file_access,data.csv,eng01
2025-08-01T05:41:57,bob,file_access,plan.pptx,fin01
2025-08-01T05:41:57,bob,file_access,summary.txt,fin01
2025-08-01T05:41:57,bob,file_access,report.docx,fin01
2025-08-01T11:40:57,mike,file_access,report.docx,prod01
2025-08-01T11:40:57,mike,file_access,summary.txt,prod01
2025-07-31T23:20:57,jane,file_access,confidential.pdf,hr01
2025-07-31T23:20:57,jane,file_access,plan.pptx,hr01
2025-07-31T23:20:57,jane,file_access,report.docx,hr01
2025-07-31T18:59:57,bob,file_access,plan.pptx,fin01
2025-07-31T18:59:57,bob,file_access,budget.xlsx,fin01
2025-07-31T13:30:57,krishna,file_access,plan.pptx,eng01
2025-07-31T13:30:57,krishna,file_access,plan.pptx,eng01
2025-07-31T13:30:57,krishna,file_access,confidential.pdf,eng01
2025-07-31T13:30:57,krishna,file_access,summary.txt,eng01
2025-07-31T13:30:57,krishna,file_access,report.docx,eng01
2025-08-01T13:52:57,sam,file_access,confidential.pdf,dev01
2025-08-01T13:52:57,sam,file_access,report.docx,dev01
2025-08-01T03:49:57,mike,file_access,summary.txt,prod01
2025-08-01T03:49:57,mike,file_access,plan.pptx,prod01
2025-08-01T03:49:57,mike,file_access,data.csv,prod01
2025-07-30T20:51:57,krishna,file_access,report.docx,dev01
2025-07-30T20:51:57,krishna,file_access,plan.pptx,dev01
2025-07-30T20:51:57,krishna,file_access,confidential.pdf,dev01
2025-07-30T20:51:57,krishna,file_access,confidential.pdf,dev01
2025-07-30T20:51:57,krishna,file_access,report.docx,dev01
2025-07-30T20:51:57,krishna,file_access,report.docx,dev01
2025-07-30T20:51:57,krishna,file_access,plan.pptx,dev01
2025-07-30T20:51:57,krishna,file_access,report.docx,dev01
2025-07-31T14:34:57,tom,file_access,budget.xlsx,prod01
2025-07-31T04:05:57,jane,file_access,report.docx,hr01
2025-07-31T04:05:57,jane,file_access,confidential.pdf,hr01
2025-07-31T06:14:57,mike,file_access,budget.xlsx,prod01
2025-08-01T08:37:57,jane,file_access,plan.pptx,hr01
2025-08-01T08:37:57,jane,file_access,budget.xlsx,hr01
2025-08-01T08:37:57,jane,file_access,report.docx,hr01
2025-07-30T19:13:57,sam,file_access,budget.xlsx,dev01
2025-07-31T09:59:57,krishna,file_access,plan.pptx,eng01
2025-07-31T09:59:57,krishna,file_access,plan.pptx,eng01
2025-07-31T09:59:57,krishna,file_access,budget.xlsx,eng01
2025-07-31T09:59:57,krishna,file_access,summary.txt,eng01
2025-07-31T09:59:57,krishna,file_access,summary.txt,eng01
2025-07-31T09:59:57,krishna,file_access,confidential.pdf,eng01
2025-07-31T09:59:57,krishna,file_access,plan.pptx,eng01
